SID,SEASON,BASIN,SUBBASIN,NAME,ISO_TIME,USA_LAT,USA_LON,USA_RECORD,USA_STATUS,USA_WIND
2000217N11342,2000,NA,NA,ALBERTO,21/08/2000 15:00,39.4049,-47.0023, ,HU,80
2000217N11342,2000,NA,NA,ALBERTO,21/08/2000 18:00,40,-46.7, ,HU,80
2000217N11342,2000,NA,NA,ALBERTO,21/08/2000 21:00,40.5778,-46.3004, ,HU,77
2000217N11342,2000,NA,NA,ALBERTO,22/08/2000 0:00,41.2,-45.9, ,HU,75
2000217N11342,2000,NA,NA,ALBERTO,22/08/2000 3:00,41.8841,-45.6917, ,HU,75
2000217N11342,2000,NA,NA,ALBERTO,22/08/2000 6:00,42.6,-45.4, ,HU,75
2000217N11342,2000,NA,NA,ALBERTO,22/08/2000 9:00,43.2473,-44.8019, ,HU,72
2000217N11342,2000,NA,NA,ALBERTO,22/08/2000 12:00,44,-44, ,HU,70
2000217N11342,2000,NA,NA,ALBERTO,22/08/2000 15:00,44.9888,-43.1369, ,HU,67
2000217N11342,2000,NA,NA,ALBERTO,22/08/2000 18:00,46.1,-42.1, ,HU,65
2000217N11342,2000,NA,NA,ALBERTO,22/08/2000 21:00,47.1776,-40.8564, ,HU,65
2000217N11342,2000,NA,NA,ALBERTO,23/08/2000 0:00,48.3,-39.5, ,HU,65
2000217N11342,2000,NA,NA,ALBERTO,23/08/2000 3:00,49.4789,-38.0622, ,HU,60
2000217N11342,2000,NA,NA,ALBERTO,23/08/2000 6:00,50.7,-36.8, ,TS,55
2000217N11342,2000,NA,NA,ALBERTO,23/08/2000 9:00,51.8424,-35.9869, ,TS,50
2000217N11342,2000,NA,NA,ALBERTO,23/08/2000 12:00,53.2,-35.4, ,EX,45
2000217N11342,2000,NA,NA,ALBERTO,23/08/2000 15:00,55.0955,-34.8564, ,EX,45
2000217N11342,2000,NA,NA,ALBERTO,23/08/2000 18:00,57,-34, ,EX,45
2000217N11342,2000,NA,NA,ALBERTO,23/08/2000 21:00,58.3472,-32.3923, ,EX,42
2000217N11342,2000,NA,NA,ALBERTO,24/08/2000 0:00,59.5,-30.3, ,EX,40
2000217N11342,2000,NA,NA,ALBERTO,24/08/2000 3:00,60.6825,-27.8102, ,EX,37
2000217N11342,2000,NA,NA,ALBERTO,24/08/2000 6:00,62,-25.5, ,EX,35
2000217N11342,2000,NA,NA,ALBERTO,24/08/2000 9:00,63.7413,-24.0891, ,EX,35
2000217N11342,2000,NA,NA,ALBERTO,24/08/2000 12:00,65.5,-23, ,EX,35
2000217N11342,2000,NA,NA,ALBERTO,24/08/2000 15:00,66.923,-21.8438, ,EX,32
2000217N11342,2000,NA,NA,ALBERTO,24/08/2000 18:00,68,-20, ,EX,30
2000217N11342,2000,NA,NA,ALBERTO,24/08/2000 21:00,68.5704,-16.5376, ,EX,30
2000217N11342,2000,NA,NA,ALBERTO,25/08/2000 0:00,69,-12.5, ,EX,30
2000217N11342,2000,NA,NA,ALBERTO,25/08/2000 3:00,69.7476,-8.70117, ,EX,30
2000217N11342,2000,NA,NA,ALBERTO,25/08/2000 6:00,70.7,-4.9, ,EX,30
2000222N28286,2000,NA,NA,NOT_NAMED,8/08/2000 12:00,28.2,-74.2, ,TD,30
2000222N28286,2000,NA,NA,NOT_NAMED,8/08/2000 15:00,28.1503,-74.6476, ,TD,30
2000222N28286,2000,NA,NA,NOT_NAMED,8/08/2000 18:00,28.1,-75.1, ,TD,30
2000222N28286,2000,NA,NA,NOT_NAMED,8/08/2000 21:00,28.0499,-75.5575, ,TD,30
2000222N28286,2000,NA,NA,NOT_NAMED,9/08/2000 0:00,28,-76, ,TD,30
2000222N28286,2000,NA,NA,NOT_NAMED,9/08/2000 3:00,27.9424,-76.4225, ,TD,30
2000222N28286,2000,NA,NA,NOT_NAMED,9/08/2000 6:00,27.9,-76.8, ,TD,30
2000222N28286,2000,NA,NA,NOT_NAMED,9/08/2000 9:00,27.8924,-77.1224, ,TD,30
2000222N28286,2000,NA,NA,NOT_NAMED,9/08/2000 12:00,27.9,-77.4, ,TD,30
2000222N28286,2000,NA,NA,NOT_NAMED,9/08/2000 15:00,27.8923,-77.6426, ,TD,30
2000222N28286,2000,NA,NA,NOT_NAMED,9/08/2000 18:00,27.9,-77.9, ,TD,30
2000222N28286,2000,NA,NA,NOT_NAMED,9/08/2000 21:00,27.9275,-78.2351, ,TD,30
2000222N28286,2000,NA,NA,NOT_NAMED,10/08/2000 0:00,28,-78.6, ,TD,30
2000222N28286,2000,NA,NA,NOT_NAMED,10/08/2000 3:00,28.1277,-79.0321, ,TD,30
2000222N28286,2000,NA,NA,NOT_NAMED,10/08/2000 6:00,28.3,-79.3, ,TD,30
2000222N28286,2000,NA,NA,NOT_NAMED,10/08/2000 9:00,28.5074,-79.1979, ,TD,30
2000222N28286,2000,NA,NA,NOT_NAMED,10/08/2000 12:00,28.7,-78.9, ,TD,30
2000222N28286,2000,NA,NA,NOT_NAMED,10/08/2000 15:00,28.8076,-78.6074, ,TD,27
2000222N28286,2000,NA,NA,NOT_NAMED,10/08/2000 18:00,28.9,-78.3, ,TD,25
2000222N28286,2000,NA,NA,NOT_NAMED,10/08/2000 21:00,29.0499,-78.05, ,TD,25
2000222N28286,2000,NA,NA,NOT_NAMED,11/08/2000 0:00,29.2,-77.8, ,TD,25
2000222N28286,2000,NA,NA,NOT_NAMED,11/08/2000 3:00,29.3074,-77.5149, ,TD,25
2000222N28286,2000,NA,NA,NOT_NAMED,11/08/2000 6:00,29.4,-77.2, ,TD,25
2000222N28286,2000,NA,NA,NOT_NAMED,11/08/2000 9:00,29.4977,-76.8577, ,TD,25
2000222N28286,2000,NA,NA,NOT_NAMED,11/08/2000 12:00,29.6,-76.5, ,TD,25
